tract,ra,dec
8278,29.102556912364847,-6.789116929065918
8279,30.352063866104547,-7.16345315552103
8280,31.292969540391212,-7.267608485748999
8281,33.50278009620588,-7.278721863266639
8282,34.975044210139025,-7.210981627727821
8283,36.57207048456385,-7.179048828502987
8284,37.85170355337438,-7.2568997556780115
8285,38.97905578468002,-7.183119953234823
8286,39.7333520128526,-7.054724742716854
8519,28.739571055689662,-5.879230435970502
8520,30.43582925960892,-5.88472389999287
8521,31.890223646857354,-5.878938990124644
8522,32.723780674717624,-5.930278040505253
8523,34.74829834667853,-5.920397297538813
8524,35.90673828573759,-5.923976225729759
8525,37.832698150821535,-5.893229081015523
8526,39.17704037576193,-5.869164431228685
8527,40.26640849244711,-5.906217053873502
8761,28.834907930389107,-4.4355960986113425
8762,30.47543590492345,-4.452526220905511
8763,31.955269242193328,-4.419710844394009
8764,33.395927991221086,-4.428837538210694
8765,34.87943476991318,-4.456657256179127
8766,36.389379883044214,-4.388497526075607
8767,37.89066338707803,-4.4085229923624425
8768,39.34592478441372,-4.374074750652137
8769,40.08288727790346,-4.4301271291335835
8984,0.6385308611827657,-1.637377104643051
8985,1.8977839631511688,-1.628202995430153
8986,3.311233413305022,-1.5910804625250594
8987,4.599993782210776,-1.6364806007314983
8988,6.60256089326822,-1.6276449974871445
8989,7.1174218637734175,-1.5852584446942746
8990,9.519838822705147,-1.6565765527380096
8991,10.90038725651774,-1.6461108456577318
8992,12.203586180683725,-1.5904076850487692
8993,13.482570197820714,-1.5962588653632777
8994,14.980440634260022,-1.5870815157744176
8995,16.35773310701377,-1.588959037856991
8996,18.586614824632147,-1.6565501786734442
8997,20.039552905312156,-1.6335115551289692
8998,21.49690809659825,-1.6395843651584354
8999,22.84122734884302,-1.6531545652089703
9000,23.87863823653292,-1.638602512296353
9001,25.345438238107164,-1.641776017591985
9002,26.72879915530498,-1.6358249772800555
9003,28.965615164732117,-2.9440998769360966
9004,30.280217401890386,-2.9272432948415674
9005,31.943012356719436,-2.957991041971889
9006,33.398966030107005,-2.9182837311160306
9007,34.69969066872925,-2.9612480889122623
9008,36.403079574208604,-2.8934997044101083
9009,37.89237986705237,-2.902309598308379
9010,39.40683769447695,-2.931004404961875
9011,39.926555542995416,-2.9243375371249796
9070,128.60722601268603,-2.5422401347251293
9071,129.8746640885688,-2.5434498128027174
9072,130.81815926305558,-2.538199264148533
9073,132.58194205824876,-2.5354796716745445
9074,133.4354276316279,-2.5452352884003666
9075,136.09341654665906,-2.547854145937542
9076,137.60169910813045,-2.54700567742233
9077,139.01481264296848,-2.553189953240654
9078,140.13237176298406,-2.5423517776709343
9079,141.45649822081955,-2.5298192113353384
9080,142.4004855037286,-2.5200459418015915
9081,144.9692612269872,-2.5434600832810896
9082,146.44754074885412,-2.5444708971082433
9083,147.78935109091663,-2.54586189148268
9084,149.3898633914476,-2.538164154915404
9085,150.74673308560503,-2.5331504192099965
9086,151.6412808719969,-2.520074951390902
9087,153.30772847749625,-2.5358329676650664
9088,155.34214907883793,-2.521340739067189
9089,156.85044759424,-2.5369957664784697
9090,158.19829545010975,-2.517592745020336
9091,158.52714923553052,-2.5496106283887805
9092,160.87820805123835,-2.531191746912855
9093,162.5400490805644,-2.384274145317434
9094,163.4186426452368,-2.543443751136527
9095,164.79075500155008,-2.5301003774811504
9096,167.21824002051903,-2.543871822075076
9097,168.53663597253586,-2.530469923373692
9098,170.21148618684703,-2.533939011174069
9099,171.28196676166618,-2.514111634866913
9100,172.2072822224481,-2.5426925686264994
9101,173.78768008623155,-2.528531443067029
9102,176.2267756974033,-2.5539928761089277
9103,177.70578262064757,-2.527903362466827
9104,179.1862318661253,-2.536960244105564
9105,180.421707808901,-2.5355374960961763
9106,181.5998493854739,-2.5146733900494227
9107,182.7155341376714,-2.520539250176325
9108,185.18439140969392,-2.543337784886766
9109,185.35851394066685,-2.55348832273761
9110,187.99255464048974,-2.555164778975198
9111,189.42745991528656,-2.5517412469390828
9112,190.98499652610136,-2.5505253086415833
9113,192.00527154917904,-2.558308835889673
9114,193.16500862285108,-2.524498741366075
9115,195.50720606471268,-2.5130755833130793
9116,197.02452628865427,-2.5371825375949566
9117,198.42551659196968,-2.529774770395042
9118,199.5842198863273,-2.5235720034687663
9119,201.16779112192899,-2.5531084007993523
9120,202.45720086432084,-2.550824650979561
9121,203.81838950828666,-2.542019919552823
9122,205.09941032878572,-2.553914280918881
9123,207.40842855234126,-2.544826499781291
9124,208.94358603680627,-2.553223405812546
9125,210.35205636035568,-2.5468445199663408
9126,211.69516476905676,-2.5421580874303307
9127,212.94931590878286,-2.5360724677761604
9128,214.24144384860176,-2.5149768375132098
9129,216.39737922766088,-2.524399211947131
9130,217.91749207222355,-2.5532691487022157
9131,219.41747425972613,-2.5545575587576863
9132,220.68897883821677,-2.556320421795684
9133,221.93411371581826,-2.5547362789399632
9134,223.4795414455384,-2.5375307783182923
9135,224.58421230795963,-2.5371457063699587
9136,225.4515290036676,-2.3888376235490076
9206,330.94773617593495,-1.600587901975879
9207,332.18414610403283,-1.648496067154302
9208,333.4944471125815,-1.6448582690249598
9209,334.79322465619003,-1.6405902519064992
9210,336.13705943279047,-1.642200016718965
9211,338.2569181095845,-1.6289606575900193
9212,339.3673810559649,-1.535367745726586
9213,341.21284535146975,-1.6454409490616682
9214,342.58075633058735,-1.6474319339106769
9215,343.76093435262356,-1.6519501417805507
9216,345.0122269232248,-1.6102815070842804
9217,347.35314453700266,-1.6586429983680742
9218,348.82367492879683,-1.5945831155928973
9219,350.26503215597404,-1.5874914605376234
9220,351.54931292629897,-1.598826573861978
9221,353.00244483531543,-1.606846374226614
9222,354.1996251555626,-1.6367516327947003
9223,356.19741099623036,-1.6129449056383063
9224,357.59760869738534,-1.6052692715764894
9225,359.05655929126226,-1.627371813606924
9226,0.5590025599807508,-1.4865557961839984
9227,1.9556529489048051,-1.4874068783640861
9228,3.5767225353593735,-1.4305169857533016
9229,4.922812206541523,-1.4757011250303607
9230,6.549862901104157,-1.4512719111092904
9231,7.848490205920755,-1.4149385572565438
9232,9.462082109850774,-1.4626318696099927
9233,10.782772713611411,-1.4638534237008574
9234,12.528201938616714,-1.4276354915554685
9235,13.94740522569467,-1.4179870238684118
9236,15.09498683285423,-1.4658792343362075
9237,16.87212953265082,-1.4111818477137994
9238,18.48416362082252,-1.471056519033543
9239,19.926373710523233,-1.4533732512763526
9240,21.33842943324581,-1.45121794667508
9241,22.951769248782885,-1.4170154758181372
9242,24.43639096141254,-1.4375352975464566
9243,25.415407692173112,-1.4818518510574583
9244,27.29916593363714,-1.4505159420808922
9245,28.81280238485365,-1.430702470775299
9246,30.32024243750913,-1.456991026541014
9247,31.790321394042326,-1.4321192182974887
9248,33.24148126987534,-1.4414616767009099
9249,34.80323491658285,-1.4800434953200015
9250,36.214611241635474,-1.447192006331657
9251,37.70883720049949,-1.470186004369193
9252,39.254738976864374,-1.4640957015681244
9253,40.18912763907838,-1.4486316594860806
9312,128.14551400785945,-1.4785870827593426
9313,129.60113859327112,-1.4421218976632983
9314,131.05275808636986,-1.4360368751305495
9315,132.40632852214182,-1.4457426671494698
9316,133.8187863136141,-1.4570703043762567
9317,135.5513367740918,-1.4235658078698392
9318,137.0246417451566,-1.4148769340915937
9319,138.4989263990493,-1.4847470748245866
9320,139.7783148220818,-1.420596722133154
9321,141.4236096795954,-1.454051138000889
9322,142.92056957528018,-1.4639704816925767
9323,144.43222548196152,-1.4829105224649108
9324,145.90433757810592,-1.4479322430351473
9325,147.32667818534793,-1.4837151752544604
9326,148.8602327766625,-1.4381585797880587
9327,150.3401791898232,-1.4584986883257973
9328,151.84346955489667,-1.4096732300654324
9329,153.26063844493098,-1.459640009622102
9330,154.80689370214415,-1.4469235931964557
9331,156.28252917365785,-1.4770743958157662
9332,157.7030326344632,-1.4561804224932906
9333,159.22871658946045,-1.475515808461526
9334,160.6982913478522,-1.4501264859828706
9335,162.1389865358235,-1.4659587667070693
9336,163.6718925069139,-1.4121895575507972
9337,165.14524841269366,-1.4830220798217673
9338,166.65102029778927,-1.472907545001889
9339,168.0986592016123,-1.4632623028396539
9340,169.61840190337333,-1.482786108553419
9341,170.8905291872746,-1.4804664237590117
9342,172.51125592210016,-1.475584737345558
9343,174.02213142482486,-1.441877612894499
9344,175.4989374167845,-1.407406301816982
9345,176.9897307466825,-1.4346065660095828
9346,178.51187331407186,-1.4743554043769278
9347,179.931226601227,-1.423226961726976
9348,181.40628380174653,-1.4214331945288239
9349,182.77994814906546,-1.4798456265986824
9350,184.41000924767886,-1.4492688987393807
9351,185.79195871198803,-1.4484119329707605
9352,187.33610327281457,-1.45278581801638
9353,188.84569843241084,-1.4471174057311385
9354,190.18963965307674,-1.4448923677924161
9355,191.771261141527,-1.4215404585167402
9356,193.2776073246869,-1.4272024609542138
9357,194.56305292290182,-1.4356674558520077
9358,196.29321420529718,-1.4174577120673666
9359,197.77360142709603,-1.4778165067456972
9360,199.20968844051916,-1.4489028090864866
9361,200.70277755921882,-1.4692754074496335
9362,202.21373542125272,-1.402842606986419
9363,203.67748533846768,-1.4457768993529132
9364,205.17465358297858,-1.4677255345946256
9365,206.61995484097145,-1.4305518057017774
9366,208.1061421396413,-1.4029513654102739
9367,209.46588053433655,-1.487100094888117
9368,211.05263354382708,-1.4722788076558162
9369,212.55536332630584,-1.4339921754339435
9370,214.07136644610597,-1.4732946450001532
9371,215.53074859973603,-1.4689296180510587
9372,216.97048333575182,-1.4527658181987493
9373,218.46558977039234,-1.464751356887224
9374,219.98797955314387,-1.4121897041103564
9375,221.41982945836978,-1.478111693407144
9376,222.92015811877184,-1.423381058837703
9377,224.41880720214223,-1.441968915574239
9378,225.91258308379292,-1.4700694398919951
9379,226.15448092432354,-1.2997176724492616
9448,329.5814888918412,-0.5932438222960259
9449,331.0487550883227,-1.4152773511816337
9450,332.57102445049014,-1.4874606220083273
9451,334.07023973619096,-1.4457230022499228
9452,335.5064292533015,-1.3993858313885534
9453,336.98346712423694,-1.4074520446308445
9454,338.0288204823129,-1.447358622954889
9455,339.5843413992661,-1.4255348374663421
9456,341.4279959308574,-1.4750299750549616
9457,342.8837018677345,-1.482451103841956
9458,344.3607450042756,-1.4661591465783093
9459,345.91470536735767,-1.397332524265816
9460,347.34459798924627,-1.4356703447018733
9461,348.8741974070027,-1.4694166832787754
9462,350.30840251800953,-1.429135871960444
9463,351.8076471868931,-1.4298075035229798
9464,353.2811233520888,-1.437152829374105
9465,354.78094643551736,-1.4683296819746452
9466,356.2333044518644,-1.4323393186205922
9467,357.5408562472911,-1.414191186206145
9468,359.024745104213,-1.4302666623634965
9469,0.5181633874424303,0.05246862815113505
9470,1.9731282016101015,0.001751217251884089
9471,3.68427378106953,0.0390606965520921
9472,5.037475714359739,0.003062094693841563
9473,6.5522927185296265,0.05128660764756925
9474,7.975001157758573,0.04014453530901167
9475,9.447649168672417,0.007131872215017523
9476,11.085305800828797,0.08474552813348375
9477,12.413501261280576,0.08320544557948242
9478,13.795676050079875,0.01211287298980542
9479,15.485614793353799,0.026652681462699758
9480,16.98994398174033,0.009092953401535027
9481,18.48507158674819,0.0005602512528244214
9482,19.925927112288825,0.021023265454644755
9483,21.455297100340655,0.0251320906049444
9484,22.8062800238839,0.015137025040699359
9485,24.31805996677717,0.04949762642039176
9486,25.91618460584902,0.05952905986206939
9487,27.34843508162159,0.04093363340930539
9488,28.645282389122166,0.01573841647902902
9489,30.345941271801827,0.07256835628696721
9490,31.82170256115404,0.02894839532389552
9491,33.179717859150344,0.002177773774644113
9492,34.77176132763006,0.07334660720995896
9493,36.26330927170324,0.01686434003642804
9494,37.63914711560104,0.08660021410718724
9495,39.2524631468576,0.046429629689945816
9496,39.70592486462113,0.032459862465469023
9555,128.10739981040928,0.03558784542316239
9556,129.60458345880585,0.04792203646863168
9557,131.07806337755693,0.023198104796188498
9558,132.57559506428998,0.043721387520411534
9559,134.0728921940496,0.045566211916885015
9560,135.50135724135077,0.04542117830671414
9561,136.99288326662065,0.07074516616658681
9562,138.45053472514027,0.050402113975457435
9563,139.93186028370116,0.0748272003356924
9564,141.45790203054818,0.014013709229674043
9565,142.92325048904746,0.07210278449575222
9566,144.4339094022324,0.06696249802430128
9567,145.57453267662643,0.032494267177644545
9568,147.36187317089744,0.06337367862626818
9569,148.5025201584263,0.02999790273481083
9570,150.31698620772192,0.0577161091370082
9571,151.58645345280456,0.00431452533401024
9572,153.26050815089886,0.009575403782721358
9573,154.7687144097534,0.07569571880134279
9574,156.19359079807975,0.015414742745563403
9575,157.71301087074073,0.03356160554440383
9576,158.99526541970772,0.06122619868614796
9577,160.66313713837724,0.07147088718162789
9578,162.1510129977233,0.046671666535480584
9579,163.57137229255306,0.062034903328143126
9580,165.14003655990567,0.06842860777607421
9581,166.58538584176455,0.005462257193258926
9582,167.94490873523085,0.08469088737566433
9583,169.29979965783042,0.055717845784105664
9584,171.08432237134903,0.003027014344566291
9585,172.56322509870543,0.04737196179090464
9586,174.03524548964444,0.008489246577668913
9587,175.4814176166054,0.0374964350991344
9588,176.99334239542495,0.013238057446467789
9589,178.46758657140353,0.08013567325390117
9590,179.96202487664587,0.05355725777033251
9591,181.43724275389,0.07497774532218816
9592,182.9148112409571,0.07728837189636667
9593,184.22906165626154,0.0616040651924325
9594,185.8940546136653,0.06352015657026013
9595,187.36055983794256,0.06329994721063623
9596,188.84491932419166,0.044371775177176796
9597,190.3562592558571,0.0042195495957648614
9598,191.85109130438116,0.018762155852969815
9599,193.25063978904075,0.015776704026180127
9600,194.6691543389103,0.06941652208452383
9601,196.27926452682973,0.018954701577687017
9602,197.74991108974595,0.021209269313267866
9603,199.22237242096818,0.02333447845503984
9604,200.6976731364234,0.08384967171151239
9605,202.21906829381615,0.008440452721313892
9606,203.6196261056531,0.011538421514407081
9607,205.12210706723346,0.0033021464209362725
9608,206.52921322543563,0.03588882650983426
9609,208.07804859760464,0.04359379444947805
9610,209.61949286297198,0.010682662495198492
9611,210.94036944331373,0.051573738413455195
9612,212.54638345513746,0.055647916348588615
9613,214.03846778505627,0.040588864332152946
9614,215.55180346236094,0.08033589496939289
9615,217.00328000633374,0.05278155891243709
9616,218.460133583518,0.05272659575078828
9617,219.96908833447122,0.08979187184917459
9618,221.42736334541414,0.018890377830314
9619,222.94142664408164,0.0813580177572773
9620,224.417060494053,0.010763357426015002
9621,225.85312346743544,0.012868041199061252
9622,226.62675198778163,0.08568825716718756
9691,329.5958607269192,0.039765077148747024
9692,331.03283209305505,0.047848154230951546
9693,332.5377046813292,0.06731821300735757
9694,333.99035498788277,0.06956366848079734
9695,335.48579277055535,0.06728386935389188
9696,337.03107501534265,0.011814077499861528
9697,338.4777817436967,0.008831607007510888
9698,339.9390227335686,0.042912016321128746
9699,341.4807861885162,0.036744099260541736
9700,342.74171831579434,0.004723309774889764
9701,344.4049160137007,0.03684695404190509
9702,345.6638973759712,0.05774199472796552
9703,347.3994278581403,0.03510774963079437
9704,348.83561098752756,0.032821433109497145
9705,350.3572107226843,0.05513897288656281
9706,351.8104443024269,0.04967414666520866
9707,353.3229292250476,0.0018786621298545784
9708,354.7428244846407,0.04347150778741969
9709,356.2442167007249,0.02785744991030907
9710,357.5329633176976,0.058964714010696355
9711,359.2354334413889,0.013219644121653464
9712,0.7024960318138118,1.501911260244985
9713,2.174436993888065,1.5485345059936935
9714,3.5302946461260816,1.5488704822729344
9715,5.184244989069788,1.544189404692164
9716,6.612946663914078,1.5369380072083891
9717,8.119322316743638,1.542185732551369
9718,9.158675268293086,1.4885541931739954
9719,11.108850742979584,1.5150467750693861
9720,12.553831781072375,1.5062837180676683
9721,14.082200648884843,1.5092293791697198
9722,15.617106585880245,1.5390616005865438
9723,16.88655512962776,1.5760873546930694
9724,18.453615347611613,1.5549597602630547
9725,19.938895494343388,1.5113006811611398
9726,21.552058501258564,1.5579276369039774
9727,22.991804445055138,1.5111150521534136
9728,24.35365690673039,1.5435530097687273
9729,25.949461061384287,1.5278950843133925
9730,27.421026267902082,1.5040820140408866
9731,28.471113335787837,1.513080575817055
9732,30.416772476756094,1.5732673836525155
9733,31.86636390350661,1.5670255782388391
9734,33.39503410072041,1.4972487624085746
9735,34.87386272960957,1.5258598603238827
9736,36.43859563082701,1.5358555267126979
9737,37.58197940683272,1.5082922009345006
9738,39.272395801408145,1.5028188512805383
9739,39.95088144478864,1.5084022995778663
9798,128.60120416797406,1.5207956555467415
9799,130.07879925021678,1.551558179777437
9800,131.6351491970604,1.5003255803238693
